iteration,route,scenario,month,meets_efficiency,meets_service,meets_carbon,composite_success
1,Kazakhstan,1,1,1.0,1.0,1.0,1.0
1,Kyrgyzstan,1,1,1.0,1.0,1.0,1.0
1,Hybrid,1,1,1.0,1.0,0.0,0.0
1,Kazakhstan,1,2,1.0,1.0,1.0,1.0
1,Kyrgyzstan,1,2,1.0,1.0,1.0,1.0
1,Hybrid,1,2,1.0,1.0,1.0,1.0
1,Kazakhstan,1,3,1.0,1.0,1.0,1.0
1,Kyrgyzstan,1,3,1.0,1.0,1.0,1.0
1,Hybrid,1,3,1.0,1.0,1.0,1.0
1,Kazakhstan,1,4,1.0,1.0,1.0,1.0
1,Kyrgyzstan,1,4,1.0,0.0,1.0,0.0
1,Hybrid,1,4,1.0,1.0,1.0,1.0
1,Kazakhstan,1,5,1.0,0.0,1.0,0.0
1,Kyrgyzstan,1,5,1.0,0.0,1.0,0.0
1,Hybrid,1,5,1.0,1.0,1.0,1.0
1,Kazakhstan,1,6,1.0,1.0,1.0,1.0
1,Kyrgyzstan,1,6,0.0,0.0,1.0,0.0
1,Hybrid,1,6,1.0,0.0,1.0,0.0
1,Kazakhstan,1,7,1.0,1.0,1.0,1.0
1,Kyrgyzstan,1,7,0.0,0.0,0.0,0.0
1,Hybrid,1,7,1.0,0.0,1.0,0.0
1,Kazakhstan,1,8,1.0,1.0,0.0,0.0
1,Kyrgyzstan,1,8,0.0,1.0,0.0,0.0
1,Hybrid,1,8,0.0,1.0,0.0,0.0
1,Kazakhstan,1,9,0.0,1.0,0.0,0.0
1,Kyrgyzstan,1,9,0.0,1.0,0.0,0.0
1,Hybrid,1,9,0.0,1.0,0.0,0.0
1,Kazakhstan,1,10,0.0,0.0,0.0,0.0
1,Kyrgyzstan,1,10,0.0,1.0,0.0,0.0
1,Hybrid,1,10,0.0,0.0,0.0,0.0
1,Kazakhstan,1,11,0.0,0.0,0.0,0.0
1,Kyrgyzstan,1,11,0.0,0.0,0.0,0.0
1,Hybrid,1,11,0.0,0.0,0.0,0.0
1,Kazakhstan,1,12,0.0,0.0,0.0,0.0
1,Kyrgyzstan,1,12,0.0,0.0,0.0,0.0
1,Hybrid,1,12,0.0,0.0,0.0,0.0
2,Kazakhstan,1,1,1.0,1.0,1.0,1.0
2,Kyrgyzstan,1,1,1.0,1.0,1.0,1.0
2,Hybrid,1,1,1.0,1.0,0.0,0.0
2,Kazakhstan,1,2,1.0,1.0,1.0,1.0
2,Kyrgyzstan,1,2,1.0,1.0,1.0,1.0
2,Hybrid,1,2,1.0,1.0,1.0,1.0
2,Kazakhstan,1,3,1.0,1.0,1.0,1.0
2,Kyrgyzstan,1,3,1.0,1.0,1.0,1.0
2,Hybrid,1,3,1.0,1.0,1.0,1.0
2,Kazakhstan,1,4,1.0,1.0,1.0,1.0
2,Kyrgyzstan,1,4,1.0,0.0,1.0,0.0
2,Hybrid,1,4,1.0,1.0,1.0,1.0
2,Kazakhstan,1,5,1.0,0.0,1.0,0.0
2,Kyrgyzstan,1,5,1.0,0.0,1.0,0.0
2,Hybrid,1,5,1.0,1.0,1.0,1.0
2,Kazakhstan,1,6,1.0,1.0,1.0,1.0
